Nazwa stacji,Rok,Miesiac,Dzien,Maksymalna temperatura dobowa,Minimalna temperatura dobowa,Srednia temperatura dobowa,Suma dobowa opadow [mm],Pokrywa sniegu [cm]
KRAKOW,2021,4,1,23.4,7.2,14.0,3.8,0
KRAKOW,2021,4,2,15.7,4.8,8.6,0.0,0
KRAKOW,2021,4,3,8.5,2.7,4.7,2.8,0
KRAKOW,2021,4,4,8.6,1.2,4.0,0.0,0
KRAKOW,2021,4,5,15.2,-1.6,7.3,3.1,0
KRAKOW,2021,4,6,12.3,0.0,3.6,0.2,1
KRAKOW,2021,4,7,5.4,-2.8,1.2,1.1,0
KRAKOW,2021,4,8,6.8,-1.6,1.9,0.9,1
KRAKOW,2021,4,9,12.8,-2.3,5.2,0.0,0
KRAKOW,2021,4,10,20.4,2.4,10.8,0.0,0
KRAKOW,2021,4,11,20.2,3.9,10.7,2.2,0
KRAKOW,2021,4,12,17.9,6.0,10.9,6.5,0
KRAKOW,2021,4,13,10.4,1.5,4.0,13.9,0
KRAKOW,2021,4,14,4.6,0.2,2.4,2.9,0
KRAKOW,2021,4,15,3.9,1.3,2.4,7.9,0
KRAKOW,2021,4,16,4.0,1.3,2.7,11.3,0
KRAKOW,2021,4,17,5.5,2.7,4.1,2.2,0
KRAKOW,2021,4,18,9.5,4.4,6.8,1.9,0
KRAKOW,2021,4,19,12.5,4.0,7.6,3.9,0
KRAKOW,2021,4,20,15.1,3.9,9.1,0.1,0
KRAKOW,2021,4,21,17.7,7.2,11.3,0.5,0
KRAKOW,2021,4,22,11.8,4.9,8.9,2.4,0
KRAKOW,2021,4,23,10.3,2.2,6.1,2.3,0
KRAKOW,2021,4,24,12.5,3.6,8.3,0.0,0
KRAKOW,2021,4,25,11.6,5.0,7.5,0.0,0
KRAKOW,2021,4,26,11.0,-0.2,5.0,0.0,0
KRAKOW,2021,4,27,11.7,-0.9,5.8,0.0,0
KRAKOW,2021,4,28,16.8,-0.2,8.7,0.0,0
KRAKOW,2021,4,29,21.0,3.3,12.7,3.7,0
KRAKOW,2021,4,30,19.8,10.8,14.7,3.6,0
WARSZAWA,2021,4,1,20.7,6.0,12.1,0.0,0
WARSZAWA,2021,4,2,12.8,1.9,6.2,0.0,0
WARSZAWA,2021,4,3,8.5,2.4,4.7,0.0,0
WARSZAWA,2021,4,4,8.9,0.8,4.1,0.0,0
WARSZAWA,2021,4,5,12.2,1.2,4.8,0.0,0
WARSZAWA,2021,4,6,3.9,0.1,2.2,0.0,0
WARSZAWA,2021,4,7,5.2,-1.1,1.3,0.0,0
WARSZAWA,2021,4,8,7.3,0.0,3.4,0.0,0
WARSZAWA,2021,4,9,11.9,0.4,5.8,0.0,0
WARSZAWA,2021,4,10,16.0,1.9,9.3,0.0,0
WARSZAWA,2021,4,11,20.1,6.2,13.0,0.0,0
WARSZAWA,2021,4,12,19.0,9.7,13.0,0.0,0
WARSZAWA,2021,4,13,11.0,1.8,5.1,0.0,0
WARSZAWA,2021,4,14,5.1,0.8,2.5,0.0,0
WARSZAWA,2021,4,15,5.6,1.8,3.9,0.0,0
WARSZAWA,2021,4,16,6.9,4.7,5.5,0.0,0
WARSZAWA,2021,4,17,12.2,5.3,7.6,0.0,0
WARSZAWA,2021,4,18,14.1,4.9,9.0,0.0,0
WARSZAWA,2021,4,19,17.7,6.7,11.5,0.0,0
WARSZAWA,2021,4,20,16.8,5.5,10.9,0.0,0
WARSZAWA,2021,4,21,17.5,8.8,12.6,0.0,0
WARSZAWA,2021,4,22,13.9,4.5,7.4,0.0,0
WARSZAWA,2021,4,23,10.4,2.6,5.4,0.0,0
WARSZAWA,2021,4,24,10.7,0.9,5.8,0.0,0
WARSZAWA,2021,4,25,8.9,2.2,5.3,0.0,0
WARSZAWA,2021,4,26,8.5,0.7,3.9,0.0,0
WARSZAWA,2021,4,27,9.9,-0.9,4.7,0.0,0
WARSZAWA,2021,4,28,15.2,-0.9,7.4,0.0,0
WARSZAWA,2021,4,29,19.7,2.8,11.8,0.0,0
WARSZAWA,2021,4,30,16.9,9.5,12.1,0.0,0
