Nazwa stacji,Rok,Miesiac,Dzien,Maksymalna temperatura dobowa,Minimalna temperatura dobowa,Srednia temperatura dobowa,Suma dobowa opadow [mm],Pokrywa sniegu [cm]
KRAKOW,2021,2,1,-2.8,-10.6,-6.7,0.0,3
KRAKOW,2021,2,2,3.7,-7.1,-2.0,1.9,3
KRAKOW,2021,2,3,11.9,0.7,5.3,5.9,3
KRAKOW,2021,2,4,9.2,2.6,5.9,1.8,0
KRAKOW,2021,2,5,3.2,-0.6,0.7,0.6,0
KRAKOW,2021,2,6,0.0,-3.3,-2.0,1.5,1
KRAKOW,2021,2,7,-1.9,-8.4,-6.4,12.7,2
KRAKOW,2021,2,8,-5.0,-7.9,-6.2,3.1,5
KRAKOW,2021,2,9,-2.3,-9.0,-5.6,0.0,5
KRAKOW,2021,2,10,-1.6,-5.2,-3.8,5.1,5
KRAKOW,2021,2,11,-3.0,-10.6,-7.9,0.1,10
KRAKOW,2021,2,12,-6.4,-12.5,-10.1,0.4,9
KRAKOW,2021,2,13,-3.0,-12.0,-6.9,0.1,10
KRAKOW,2021,2,14,-1.4,-4.8,-3.9,0.0,9
KRAKOW,2021,2,15,-0.8,-7.8,-5.4,0.0,9
KRAKOW,2021,2,16,-0.5,-9.1,-4.9,0.1,8
KRAKOW,2021,2,17,3.0,-1.8,0.9,2.5,8
KRAKOW,2021,2,18,3.7,0.0,1.7,0.6,7
KRAKOW,2021,2,19,3.5,-2.0,0.4,1.1,5
KRAKOW,2021,2,20,10.1,0.8,4.1,0.0,4
KRAKOW,2021,2,21,11.8,-3.0,2.7,0.0,2
KRAKOW,2021,2,22,12.3,-2.3,3.2,0.0,0
KRAKOW,2021,2,23,11.2,-0.9,4.6,0.0,0
KRAKOW,2021,2,24,18.3,1.2,7.6,0.0,0
KRAKOW,2021,2,25,20.1,0.4,7.9,0.0,0
KRAKOW,2021,2,26,18.6,2.6,8.7,6.2,0
KRAKOW,2021,2,27,10.6,2.4,5.7,0.0,0
KRAKOW,2021,2,28,8.3,1.0,4.1,0.0,0
WARSZAWA,2021,2,1,-1.5,-12.5,-7.9,0.0,0
WARSZAWA,2021,2,2,1.6,-7.7,-2.1,0.0,0
WARSZAWA,2021,2,3,3.6,0.6,2.0,0.0,0
WARSZAWA,2021,2,4,6.1,-3.0,0.6,0.0,0
WARSZAWA,2021,2,5,0.2,-7.1,-4.2,0.0,0
WARSZAWA,2021,2,6,-3.0,-9.5,-7.3,0.0,0
WARSZAWA,2021,2,7,-9.5,-12.2,-11.1,0.0,0
WARSZAWA,2021,2,8,-8.7,-11.9,-10.0,0.0,0
WARSZAWA,2021,2,9,-5.9,-8.7,-7.4,0.0,0
WARSZAWA,2021,2,10,-5.3,-8.8,-7.1,0.0,0
WARSZAWA,2021,2,11,-6.3,-13.0,-11.0,0.0,0
WARSZAWA,2021,2,12,-7.9,-13.1,-10.7,0.0,0
WARSZAWA,2021,2,13,0.3,-11.5,-5.1,0.0,0
WARSZAWA,2021,2,14,-0.2,-5.1,-3.0,0.0,0
WARSZAWA,2021,2,15,-1.8,-5.6,-4.0,0.0,0
WARSZAWA,2021,2,16,-1.1,-7.5,-4.6,0.0,0
WARSZAWA,2021,2,17,-0.3,-2.5,-1.7,0.0,0
WARSZAWA,2021,2,18,-1.3,-10.2,-7.4,0.0,0
WARSZAWA,2021,2,19,2.2,-11.5,-4.3,0.0,0
WARSZAWA,2021,2,20,7.0,1.5,2.9,0.0,0
WARSZAWA,2021,2,21,9.2,-1.2,3.0,0.0,0
WARSZAWA,2021,2,22,11.4,-2.2,3.0,0.0,0
WARSZAWA,2021,2,23,9.2,-1.2,3.8,0.0,0
WARSZAWA,2021,2,24,16.5,3.3,9.2,0.0,0
WARSZAWA,2021,2,25,17.4,2.3,8.5,0.0,0
WARSZAWA,2021,2,26,11.7,5.0,7.2,0.0,0
WARSZAWA,2021,2,27,8.5,4.2,5.4,0.0,0
WARSZAWA,2021,2,28,4.4,0.0,2.1,0.0,0
