Nazwa stacji,Rok,Miesiac,Dzien,Maksymalna temperatura dobowa,Minimalna temperatura dobowa,Srednia temperatura dobowa,Suma dobowa opadow [mm],Pokrywa sniegu [cm]
KRAKOW,2021,6,1,20.5,5.8,12.9,0.0,0
KRAKOW,2021,6,2,20.1,6.6,13.9,0.0,0
KRAKOW,2021,6,3,23.4,7.3,15.4,0.0,0
KRAKOW,2021,6,4,25.8,8.5,17.8,0.5,0
KRAKOW,2021,6,5,22.9,14.9,17.4,8.9,0
KRAKOW,2021,6,6,25.3,10.8,18.0,0.0,0
KRAKOW,2021,6,7,26.9,12.1,19.3,0.0,0
KRAKOW,2021,6,8,27.1,11.5,19.5,0.0,0
KRAKOW,2021,6,9,27.2,13.4,19.9,0.2,0
KRAKOW,2021,6,10,25.8,12.9,19.1,0.0,0
KRAKOW,2021,6,11,23.7,13.4,18.4,2.2,0
KRAKOW,2021,6,12,26.0,13.1,19.2,10.4,0
KRAKOW,2021,6,13,20.0,12.6,15.6,0.4,0
KRAKOW,2021,6,14,22.7,9.8,16.3,0.0,0
KRAKOW,2021,6,15,25.6,9.9,18.2,0.0,0
KRAKOW,2021,6,16,27.3,12.5,20.4,0.0,0
KRAKOW,2021,6,17,29.0,14.8,22.1,0.0,0
KRAKOW,2021,6,18,31.3,14.3,23.0,0.0,0
KRAKOW,2021,6,19,31.4,16.5,24.0,0.0,0
KRAKOW,2021,6,20,31.2,17.3,23.9,0.0,0
KRAKOW,2021,6,21,31.6,19.3,25.3,0.0,0
KRAKOW,2021,6,22,31.9,19.4,23.7,29.7,0
KRAKOW,2021,6,23,26.4,19.4,22.7,0.1,0
KRAKOW,2021,6,24,32.7,19.8,23.8,34.1,0
KRAKOW,2021,6,25,22.4,15.6,19.4,0.8,0
KRAKOW,2021,6,26,22.6,17.7,19.5,4.6,0
KRAKOW,2021,6,27,25.9,14.9,19.9,0.0,0
KRAKOW,2021,6,28,27.5,14.4,21.2,0.0,0
KRAKOW,2021,6,29,28.3,15.4,22.4,5.4,0
KRAKOW,2021,6,30,27.9,17.6,22.6,0.0,0
WARSZAWA,2021,6,1,19.2,9.4,14.7,0.0,0
WARSZAWA,2021,6,2,21.2,8.8,15.0,0.0,0
WARSZAWA,2021,6,3,24.4,12.5,18.0,0.0,0
WARSZAWA,2021,6,4,24.9,11.9,18.5,0.0,0
WARSZAWA,2021,6,5,22.6,14.4,17.2,0.0,0
WARSZAWA,2021,6,6,25.3,13.1,18.8,0.0,0
WARSZAWA,2021,6,7,25.9,14.1,19.8,0.0,0
WARSZAWA,2021,6,8,27.0,13.9,20.5,0.0,0
WARSZAWA,2021,6,9,25.7,14.7,19.9,0.0,0
WARSZAWA,2021,6,10,24.9,14.6,19.5,0.0,0
WARSZAWA,2021,6,11,24.7,14.7,19.2,0.0,0
WARSZAWA,2021,6,12,24.7,14.6,18.6,0.0,0
WARSZAWA,2021,6,13,18.0,11.1,14.2,0.0,0
WARSZAWA,2021,6,14,22.7,11.2,16.8,0.0,0
WARSZAWA,2021,6,15,24.6,13.8,19.6,0.0,0
WARSZAWA,2021,6,16,24.7,14.6,19.1,0.0,0
WARSZAWA,2021,6,17,27.8,12.8,20.3,0.0,0
WARSZAWA,2021,6,18,30.2,14.2,22.4,0.0,0
WARSZAWA,2021,6,19,30.7,16.1,23.5,0.0,0
WARSZAWA,2021,6,20,30.6,18.4,23.9,0.0,0
WARSZAWA,2021,6,21,30.9,19.1,24.7,0.0,0
WARSZAWA,2021,6,22,32.2,19.1,23.9,0.0,0
WARSZAWA,2021,6,23,28.0,19.6,23.6,0.0,0
WARSZAWA,2021,6,24,27.4,18.4,22.8,0.0,0
WARSZAWA,2021,6,25,23.6,18.1,20.5,0.0,0
WARSZAWA,2021,6,26,23.5,17.9,20.5,0.0,0
WARSZAWA,2021,6,27,25.6,15.3,20.4,0.0,0
WARSZAWA,2021,6,28,26.6,15.5,21.3,0.0,0
WARSZAWA,2021,6,29,29.9,16.4,23.2,0.0,0
WARSZAWA,2021,6,30,28.3,16.8,22.3,0.0,0
