Nazwa stacji,Rok,Miesiac,Dzien,Maksymalna temperatura dobowa,Minimalna temperatura dobowa,Srednia temperatura dobowa,Suma dobowa opadow [mm],Pokrywa sniegu [cm]
KRAKOW,2023,2,1,4.8,1.2,2.7,4.9,0
KRAKOW,2023,2,2,4.0,0.9,2.5,3.6,0
KRAKOW,2023,2,3,3.3,-0.9,1.2,14.3,0
KRAKOW,2023,2,4,3.3,-1.7,-0.2,1.0,3
KRAKOW,2023,2,5,-1.5,-6.2,-4.3,0.0,4
KRAKOW,2023,2,6,-2.1,-5.5,-4.2,0.0,4
KRAKOW,2023,2,7,-2.4,-9.1,-5.7,0.4,3
KRAKOW,2023,2,8,1.9,-2.8,-1.4,0.0,3
KRAKOW,2023,2,9,4.6,-8.9,-3.5,0.0,2
KRAKOW,2023,2,10,3.5,-6.2,-1.8,0.0,2
KRAKOW,2023,2,11,5.5,-2.1,1.3,0.9,0
KRAKOW,2023,2,12,5.2,0.8,2.2,0.0,0
KRAKOW,2023,2,13,5.9,0.0,3.1,0.7,0
KRAKOW,2023,2,14,5.5,3.6,4.4,0.0,0
KRAKOW,2023,2,15,9.3,2.6,4.6,0.0,0
KRAKOW,2023,2,16,9.9,-1.9,3.1,0.0,0
KRAKOW,2023,2,17,9.1,-0.3,4.9,1.6,0
KRAKOW,2023,2,18,11.3,5.5,8.7,5.0,0
KRAKOW,2023,2,19,9.9,3.6,5.8,7.1,0
KRAKOW,2023,2,20,10.7,0.8,5.8,0.7,0
KRAKOW,2023,2,21,11.3,7.4,8.7,2.0,0
KRAKOW,2023,2,22,8.6,4.3,5.5,0.0,0
KRAKOW,2023,2,23,8.8,-1.4,3.2,1.4,0
KRAKOW,2023,2,24,12.2,4.1,7.5,7.4,0
KRAKOW,2023,2,25,8.3,2.6,4.2,1.4,0
KRAKOW,2023,2,26,3.3,0.1,1.1,0.0,0
KRAKOW,2023,2,27,1.7,-0.5,0.4,0.1,0
KRAKOW,2023,2,28,3.4,-3.2,-0.9,0.0,0
WARSZAWA,2023,2,1,4.5,1.2,2.9,0.0,0
WARSZAWA,2023,2,2,3.3,0.4,2.0,0.0,0
WARSZAWA,2023,2,3,1.9,-1.7,-0.6,0.0,0
WARSZAWA,2023,2,4,-0.8,-3.1,-2.1,0.0,0
WARSZAWA,2023,2,5,-1.9,-5.0,-3.3,0.0,0
WARSZAWA,2023,2,6,-0.3,-7.7,-4.8,0.0,0
WARSZAWA,2023,2,7,0.8,-4.6,-1.4,0.0,0
WARSZAWA,2023,2,8,1.3,-2.1,-1.0,0.0,0
WARSZAWA,2023,2,9,2.4,-7.2,-3.1,0.0,0
WARSZAWA,2023,2,10,1.4,-1.6,-0.1,0.0,0
WARSZAWA,2023,2,11,3.9,1.0,2.7,0.0,0
WARSZAWA,2023,2,12,4.7,-0.3,1.4,0.0,0
WARSZAWA,2023,2,13,5.7,1.2,4.1,0.0,0
WARSZAWA,2023,2,14,5.3,2.9,3.6,0.0,0
WARSZAWA,2023,2,15,3.4,1.7,2.3,0.0,0
WARSZAWA,2023,2,16,6.8,-2.1,1.8,0.0,0
WARSZAWA,2023,2,17,7.1,3.1,5.3,0.0,0
WARSZAWA,2023,2,18,9.3,3.6,5.5,0.0,0
WARSZAWA,2023,2,19,5.1,1.8,3.0,0.0,0
WARSZAWA,2023,2,20,7.7,0.6,4.2,0.0,0
WARSZAWA,2023,2,21,7.6,6.1,6.6,0.0,0
WARSZAWA,2023,2,22,6.2,0.1,1.9,0.0,0
WARSZAWA,2023,2,23,4.7,-2.0,1.2,0.0,0
WARSZAWA,2023,2,24,7.2,1.6,4.5,0.0,0
WARSZAWA,2023,2,25,4.0,1.4,2.3,0.0,0
WARSZAWA,2023,2,26,2.4,-1.0,0.3,0.0,0
WARSZAWA,2023,2,27,0.8,-1.0,-0.5,0.0,0
WARSZAWA,2023,2,28,3.1,-5.1,-1.8,0.0,0
