Nazwa stacji,Rok,Miesiac,Dzien,Maksymalna temperatura dobowa,Minimalna temperatura dobowa,Srednia temperatura dobowa,Suma dobowa opadow [mm],Pokrywa sniegu [cm]
KRAKOW,2023,6,1,27.0,9.4,18.7,0.0,0
KRAKOW,2023,6,2,23.5,11.5,16.5,0.0,0
KRAKOW,2023,6,3,19.0,6.9,13.2,0.0,0
KRAKOW,2023,6,4,23.3,6.3,15.2,0.0,0
KRAKOW,2023,6,5,25.2,8.5,17.6,0.0,0
KRAKOW,2023,6,6,22.4,15.4,18.6,0.2,0
KRAKOW,2023,6,7,23.0,16.3,19.3,0.0,0
KRAKOW,2023,6,8,22.6,13.2,17.8,0.0,0
KRAKOW,2023,6,9,24.4,16.3,19.0,3.8,0
KRAKOW,2023,6,10,22.5,15.3,18.9,0.0,0
KRAKOW,2023,6,11,23.4,15.2,18.5,0.0,0
KRAKOW,2023,6,12,20.6,11.8,15.8,0.0,0
KRAKOW,2023,6,13,17.0,7.3,12.4,0.3,0
KRAKOW,2023,6,14,18.0,11.2,14.2,7.6,0
KRAKOW,2023,6,15,22.6,10.6,16.8,0.0,0
KRAKOW,2023,6,16,22.6,11.5,17.6,0.0,0
KRAKOW,2023,6,17,24.3,12.5,18.4,0.0,0
KRAKOW,2023,6,18,25.0,12.1,18.7,0.0,0
KRAKOW,2023,6,19,27.3,12.0,20.1,0.0,0
KRAKOW,2023,6,20,30.8,13.9,22.5,0.0,0
KRAKOW,2023,6,21,30.4,17.9,24.0,0.0,0
KRAKOW,2023,6,22,30.7,19.4,24.8,0.0,0
KRAKOW,2023,6,23,27.0,18.4,22.8,4.6,0
KRAKOW,2023,6,24,22.9,15.2,18.0,3.7,0
KRAKOW,2023,6,25,26.4,13.3,19.6,0.0,0
KRAKOW,2023,6,26,28.3,13.7,21.3,16.1,0
KRAKOW,2023,6,27,24.8,16.2,19.4,3.4,0
KRAKOW,2023,6,28,21.5,11.2,15.6,1.9,0
KRAKOW,2023,6,29,25.2,12.9,19.2,0.0,0
KRAKOW,2023,6,30,28.1,13.7,21.4,9.8,0
WARSZAWA,2023,6,1,26.4,12.4,19.3,0.0,0
WARSZAWA,2023,6,2,21.7,12.1,15.0,0.0,0
WARSZAWA,2023,6,3,18.3,5.5,11.7,0.0,0
WARSZAWA,2023,6,4,21.5,6.7,14.5,0.0,0
WARSZAWA,2023,6,5,24.2,9.5,17.0,0.0,0
WARSZAWA,2023,6,6,25.7,11.4,18.7,0.0,0
WARSZAWA,2023,6,7,27.1,14.5,20.5,0.0,0
WARSZAWA,2023,6,8,26.4,12.6,19.1,0.0,0
WARSZAWA,2023,6,9,27.0,14.2,20.6,0.0,0
WARSZAWA,2023,6,10,25.6,15.7,20.2,0.0,0
WARSZAWA,2023,6,11,22.8,12.9,17.7,0.0,0
WARSZAWA,2023,6,12,21.9,10.3,15.2,0.0,0
WARSZAWA,2023,6,13,15.6,9.4,11.8,0.0,0
WARSZAWA,2023,6,14,19.3,11.6,15.2,0.0,0
WARSZAWA,2023,6,15,22.5,13.4,17.4,0.0,0
WARSZAWA,2023,6,16,24.3,11.9,18.3,0.0,0
WARSZAWA,2023,6,17,23.4,13.9,18.4,0.0,0
WARSZAWA,2023,6,18,20.9,16.3,18.6,0.0,0
WARSZAWA,2023,6,19,26.2,13.0,19.9,0.0,0
WARSZAWA,2023,6,20,27.9,15.5,22.0,0.0,0
WARSZAWA,2023,6,21,28.1,16.8,21.5,0.0,0
WARSZAWA,2023,6,22,27.9,18.7,22.8,0.0,0
WARSZAWA,2023,6,23,24.4,16.1,20.9,0.0,0
WARSZAWA,2023,6,24,22.8,17.2,20.0,0.0,0
WARSZAWA,2023,6,25,25.5,15.2,20.2,0.0,0
WARSZAWA,2023,6,26,28.1,15.1,21.8,0.0,0
WARSZAWA,2023,6,27,23.9,15.9,18.7,0.0,0
WARSZAWA,2023,6,28,20.0,11.7,15.7,0.0,0
WARSZAWA,2023,6,29,25.9,14.0,19.3,0.0,0
WARSZAWA,2023,6,30,26.7,14.8,20.9,0.0,0
