Nazwa stacji,Rok,Miesiac,Dzien,Maksymalna temperatura dobowa,Minimalna temperatura dobowa,Srednia temperatura dobowa,Suma dobowa opadow [mm],Pokrywa sniegu [cm]
KRAKOW,2021,1,1,0.5,-1.2,-0.5,0.0,0
KRAKOW,2021,1,2,4.4,-1.6,0.8,0.0,0
KRAKOW,2021,1,3,4.0,-0.9,1.1,0.0,0
KRAKOW,2021,1,4,4.9,-0.7,1.7,7.1,0
KRAKOW,2021,1,5,3.7,1.4,2.5,4.3,0
KRAKOW,2021,1,6,3.7,-0.4,1.3,1.9,0
KRAKOW,2021,1,7,2.3,0.7,1.3,0.3,0
KRAKOW,2021,1,8,3.6,-1.3,0.3,0.0,0
KRAKOW,2021,1,9,2.8,-1.6,0.2,0.0,0
KRAKOW,2021,1,10,2.9,-2.7,-0.8,0.0,0
KRAKOW,2021,1,11,1.8,-6.3,-3.4,0.0,0
KRAKOW,2021,1,12,3.5,-8.0,-2.5,2.5,0
KRAKOW,2021,1,13,2.3,-0.8,0.4,8.9,4
KRAKOW,2021,1,14,1.3,-1.1,-0.2,2.9,15
KRAKOW,2021,1,15,-0.2,-4.9,-3.3,3.5,14
KRAKOW,2021,1,16,-2.2,-6.8,-5.0,2.5,13
KRAKOW,2021,1,17,-4.4,-11.1,-8.9,0.3,15
KRAKOW,2021,1,18,-6.0,-11.0,-9.0,4.5,14
KRAKOW,2021,1,19,2.4,-8.4,-2.3,1.3,16
KRAKOW,2021,1,20,9.4,0.0,3.2,0.0,13
KRAKOW,2021,1,21,10.2,-3.4,1.3,0.0,9
KRAKOW,2021,1,22,12.3,-2.2,3.9,0.7,8
KRAKOW,2021,1,23,10.3,1.0,5.3,0.1,5
KRAKOW,2021,1,24,7.1,1.6,3.5,0.0,3
KRAKOW,2021,1,25,3.1,0.2,1.3,0.8,0
KRAKOW,2021,1,26,1.9,-1.7,-0.4,1.0,2
KRAKOW,2021,1,27,0.8,-1.9,-0.6,0.8,3
KRAKOW,2021,1,28,4.0,-5.7,-1.3,0.9,4
KRAKOW,2021,1,29,3.0,-1.4,0.1,4.3,3
KRAKOW,2021,1,30,2.8,-2.3,-0.6,2.1,6
KRAKOW,2021,1,31,-0.4,-5.5,-4.0,0.0,4
WARSZAWA,2021,1,1,0.9,-1.2,-0.2,0.0,0
WARSZAWA,2021,1,2,1.2,-0.9,0.3,0.0,0
WARSZAWA,2021,1,3,2.4,0.8,1.2,0.0,0
WARSZAWA,2021,1,4,3.4,0.5,2.2,0.0,0
WARSZAWA,2021,1,5,4.0,1.5,2.8,0.0,0
WARSZAWA,2021,1,6,2.1,0.8,1.3,0.0,0
WARSZAWA,2021,1,7,2.4,0.5,1.2,0.0,0
WARSZAWA,2021,1,8,1.4,0.2,0.6,0.0,0
WARSZAWA,2021,1,9,0.5,-0.6,-0.2,0.0,0
WARSZAWA,2021,1,10,0.6,-0.5,0.1,0.0,0
WARSZAWA,2021,1,11,1.8,-1.3,-0.4,0.0,0
WARSZAWA,2021,1,12,0.6,-3.5,-1.6,0.0,0
WARSZAWA,2021,1,13,0.3,-1.4,-0.6,0.0,0
WARSZAWA,2021,1,14,0.1,-4.0,-2.2,0.0,0
WARSZAWA,2021,1,15,-4.0,-8.2,-6.8,0.0,0
WARSZAWA,2021,1,16,-2.5,-10.6,-7.3,0.0,0
WARSZAWA,2021,1,17,-6.1,-15.2,-12.6,0.0,0
WARSZAWA,2021,1,18,-12.8,-17.5,-15.7,0.0,0
WARSZAWA,2021,1,19,-5.6,-17.0,-10.2,0.0,0
WARSZAWA,2021,1,20,3.0,-5.6,-0.6,0.0,0
WARSZAWA,2021,1,21,5.9,-2.5,0.7,0.0,0
WARSZAWA,2021,1,22,7.7,-1.0,2.7,0.0,0
WARSZAWA,2021,1,23,5.3,-0.5,2.5,0.0,0
WARSZAWA,2021,1,24,4.6,0.6,1.7,0.0,0
WARSZAWA,2021,1,25,1.1,-0.5,0.3,0.0,0
WARSZAWA,2021,1,26,1.2,0.0,0.5,0.0,0
WARSZAWA,2021,1,27,1.1,-0.1,0.4,0.0,0
WARSZAWA,2021,1,28,1.5,-1.4,-0.2,0.0,0
WARSZAWA,2021,1,29,0.4,-3.0,-1.6,0.0,0
WARSZAWA,2021,1,30,-1.0,-3.1,-2.3,0.0,0
WARSZAWA,2021,1,31,-1.8,-6.5,-5.1,0.0,0
