datePk;dateId;dateYear;dateYearISO;dateMonthYear;dateWeekYearISO;dateQuarterYear;dateMonth;dateDay;dateDaySuffix;dateWeekDay;dateWeekDayName;dateWeekDayNameShort;dateWeekDayNameFirstLetter;dateDayOfYear;dateWeekOfMonth;dateWeekOfYear;dateWeekOfYearISO;dateMonthName;dateMonthNameShort;dateMonthNameFirstLetter;dateQuarter;dateQuarterName;dateQuarterShort;dateIsWeekend;dateIsHolidayInd;dateWeekDayStartsMonday;dateWeekDayNamePL;dateMonthNamePL;dateWeekOfYearStartsMonday;firstDayWorkBefore;firstDayWorkAfter;firstDayNoHolidayNoSaturdayAfter;firstDayNoHolidayNoSundayAfter;firstDayNoHolidayNoSaturdayAfterData;firstDayNoSaturdayNoHolidayOrSundayHolidayName;firstDayNoSaturdayNoHolidayOrSundayHolidayIsHoliday;firstDayNoSaturdayNoHolidayOrSundayHoliday;isThuHolyday;isFriHolyday;isSatHolyday;isWeekendParcelServiceBreakInd;courierBillingPeriodDateFk;courierBillingPeriodStartDateFk;courierBillingPeriodEndDateFk;xlsDate;dwhDateFrom;dwhDateTo;dwhCurrRec;dwhAuditCd;dwhAuditCp;dwhAuditMd;dwhAuditMp
20230801;2023-08-01;2023;2023;08.2023;T31-2023;Q3-2023;8;1;st;3;Tuesday;TUE;T;213;1;31;31;August;AUG;A;3;Third;Qtr 3;0;0;2;Wtorek;Sierpień;32;20230731;20230802;20230802;20230802;20230802;WED;0;20230802;0;0;0;0;20230801;20230801;20230815;45139;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20230813;2023-08-13;2023;2023;08.2023;T32-2023;Q3-2023;8;13;th;1;Sunday;SUN;S;225;3;33;32;August;AUG;A;3;Third;Qtr 3;1;0;7;Niedziela;Sierpień;33;20230811;20230814;20230814;20230814;20230814;MON;0;20230814;0;0;0;0;20230801;20230801;20230815;45151;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20230929;2023-09-29;2023;2023;09.2023;T39-2023;Q3-2023;9;29;th;6;Friday;FRI;F;272;5;39;39;September;SEP;S;3;Third;Qtr 3;0;0;5;Piątek;Wrzesień;40;20230928;20231002;20231001;20230930;20231001;SUN;0;20231001;0;0;0;0;20230916;20230916;20230930;45198;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20231005;2023-10-05;2023;2023;10.2023;T40-2023;Q4-2023;10;5;th;5;Thursday;THU;T;278;1;40;40;October;OCT;O;4;Fourth;Qtr 4;0;0;4;Czwartek;Październik;41;20231004;20231006;20231006;20231006;20231006;FRI;0;20231006;0;0;0;0;20231001;20231001;20231015;45204;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20230318;2023-03-18;2023;2023;03.2023;T11-2023;Q1-2023;3;18;th;7;Saturday;SAT;S;77;3;11;11;March;MAR;M;1;First;Qtr 1;1;0;6;Sobota;Marzec;12;20230317;20230320;20230319;20230320;20230319;SUN;0;20230319;0;0;0;0;20230316;20230316;20230331;45003;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20231106;2023-11-06;2023;2023;11.2023;T45-2023;Q4-2023;11;6;th;2;Monday;MON;M;310;2;45;45;November;NOV;N;4;Fourth;Qtr 4;0;0;1;Poniedziałek;Listopad;46;20231103;20231107;20231107;20231107;20231107;TUE;0;20231107;0;0;0;0;20231101;20231101;20231115;45236;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20200329;2020-03-29;2020;2020;03.2020;T13-2020;Q1-2020;3;29;th;1;Sunday;SUN;S;89;5;14;13;March;MAR;M;1;First;Qtr 1;1;0;7;Niedziela;Marzec;13;20200327;20200330;20200330;20200330;20200330;MON;0;20200330;0;0;0;NULL;20200316;20200316;20200331;43919;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20200610;2020-06-10;2020;2020;06.2020;T24-2020;Q2-2020;6;10;th;4;Wednesday;WED;W;162;2;24;24;June;JUN;J;2;Second;Qtr 2;0;0;3;Środa;Czerwiec;24;20200609;20200612;20200612;20200612;20200612;FRI;0;20200612;1;0;0;NULL;20200601;20200601;20200615;43992;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20200823;2020-08-23;2020;2020;08.2020;T34-2020;Q3-2020;8;23;rd;1;Sunday;SUN;S;236;5;35;34;August;AUG;A;3;Third;Qtr 3;1;0;7;Niedziela;Sierpień;34;20200821;20200824;20200824;20200824;20200824;MON;0;20200824;0;0;0;NULL;20200816;20200816;20200831;44066;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20231120;2023-11-20;2023;2023;11.2023;T47-2023;Q4-2023;11;20;th;2;Monday;MON;M;324;4;47;47;November;NOV;N;4;Fourth;Qtr 4;0;0;1;Poniedziałek;Listopad;48;20231117;20231121;20231121;20231121;20231121;TUE;0;20231121;0;0;0;0;20231116;20231116;20231130;45250;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
